study_id,study_site,country_iso2,age_group,time,non_wasted_time,mild_time,moderate_time,severe_time,non_to_mild,mild_to_moderate,moderate_to_severe,non_to_moderate,non_to_severe,mild_to_severe,mild_to_non,moderate_to_mild,severe_to_moderate,severe_to_mild,moderate_to_non,severe_to_non,i_non_mild,i_mild_mod,i_mild_severe,i_mod_severe,i_non_mod,i_non_severe,r_mild_non,r_mod_mild,r_severe_mod,r_moderate_non,r_severe_non,r_severe_mild
NIH CRYPTO,NIH CRYPTO BD,BD,6 to 12 months,134597,106844,22597,4437,719,111,33,3,7,0,3,52,19,1,0,0,1,0.001038898,0.001460371,0.000132761,0.000676133,6.55E-05,0,0.00230119,0.004282173,0.001390821,0,0.001390821,0
NIH CRYPTO,NIH CRYPTO BD,BD,1 to 4 years,288968,196386,71616,18823,2143,266,84,15,13,0,2,192,65,12,4,13,0,0.001354475,0.001172922,2.79E-05,0.000796897,6.62E-05,0,0.002680965,0.003453222,0.005599627,0.000690644,0,0.001866542
PROVIDE,PROVIDE BD,BD,<27 days,14438,5333,5998,2752,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PROVIDE,PROVIDE BD,BD,1 to 5 months,98479,74338,18719,4428,994,194,52,11,5,0,4,387,70,7,8,84,7,0.002609702,0.002777926,0.000213687,0.002484192,6.73E-05,0,0.020674181,0.015808491,0.007042254,0.01897019,0.007042254,0.00804829
PROVIDE,PROVIDE BD,BD,6 to 12 months,113994,84451,23364,4852,1327,121,30,4,6,0,0,41,18,2,0,0,1,0.001432784,0.001284027,0,0.000824402,7.10E-05,0,0.001754837,0.00370981,0.001507159,0,0.00075358,0
PROVIDE,PROVIDE BD,BD,1 to 4 years,224114,139022,66318,16509,2265,261,115,16,10,0,3,193,96,15,2,8,0,0.001877401,0.001734069,4.52E-05,0.000969168,7.19E-05,0,0.00291022,0.00581501,0.006622517,0.000484584,0,0.000883002
SAS VIT A,SAS VIT A IN,IN,1 to 5 months,408252,238235,109044,45462,15511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAS VIT A,SAS VIT A IN,IN,6 to 12 months,419590,235744,123713,45189,14944,862,302,85,174,35,51,691,304,78,69,148,27,0.003656509,0.002441134,0.000412244,0.001880989,0.000738089,0.000148466,0.005585508,0.006727301,0.005219486,0.003275133,0.001806745,0.004617238
SAS VIT A,SAS VIT A IN,IN,1 to 4 years,541,132,283,0,126,1,0,0,0,0,1,0,0,0,0,0,0,0.007575758,0,0.003533569,NA,0,0,0,NA,0,NA,0,0
TANZANIA CHILD 2,TANZANIA CHILD 2 TZ,TZ,1 to 5 months,254516,214333,30664,7924,1595,511,105,21,70,20,5,501,100,18,17,77,17,0.002384141,0.003424211,0.000163058,0.002650177,0.000326595,9.33E-05,0.016338377,0.012619889,0.011285266,0.009717314,0.010658307,0.010658307
TANZANIA CHILD 2,TANZANIA CHILD 2 TZ,TZ,6 to 12 months,337112,262567,54688,16541,3316,621,216,34,46,4,11,492,189,28,8,40,0,0.002365111,0.003949678,0.000201141,0.002055498,0.000175193,1.52E-05,0.008996489,0.011426153,0.008443908,0.002418233,0,0.002412545
TANZANIA CHILD 2,TANZANIA CHILD 2 TZ,TZ,1 to 4 years,299797,223669,58261,15036,2831,439,149,30,32,2,14,420,157,27,8,25,5,0.001962722,0.002557457,0.000240298,0.001995211,0.000143069,8.94E-06,0.007208939,0.010441607,0.009537266,0.001662676,0.00176616,0.002825857
TANZANIA CHILD 2,TANZANIA CHILD 2 TZ,TZ,<27 days,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAS VIT B12,SAS VIT B12 IN,IN,6 to 12 months,33145,22381,8120,2487,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAS VIT B12,SAS VIT B12 IN,IN,1 to 4 years,146344,75761,53931,15886,766,120,46,5,7,0,5,81,37,3,2,11,0,0.001583928,0.000852942,9.27E-05,0.000314743,9.24E-05,0,0.001501919,0.002329095,0.003916449,0.000692434,0,0.002610966
Zvitambo,Zvitambo ZI,ZI,1 to 5 months,160934,139696,14430,4014,2794,111,7,3,32,10,6,175,15,4,11,79,45,0.000794583,0.0004851,0.0004158,0.000747384,0.000229069,7.16E-05,0.012127512,0.003736921,0.001431639,0.019681116,0.016105941,0.003937008
Zvitambo,Zvitambo ZI,ZI,1 to 4 years,806926,620674,131921,27525,26806,372,56,28,58,49,35,208,43,9,12,45,19,0.000599348,0.000424496,0.00026531,0.001017257,9.34E-05,7.89E-05,0.001576701,0.001562216,0.000335746,0.001634877,0.000708797,0.000447661
Zvitambo,Zvitambo ZI,ZI,6 to 12 months,575713,483807,64734,18891,8281,343,29,13,82,37,14,218,26,8,9,63,44,0.00070896,0.000447987,0.00021627,0.000688158,0.000169489,7.65E-05,0.003367628,0.001376317,0.000966067,0.003334921,0.005313368,0.001086825
Zvitambo,Zvitambo ZI,ZI,<27 days,482,290,94,53,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
